1583043588000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.551969999999997 37.95699333333334  121.1 8.5 0
1583043609000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.553071666666664 37.95659833333333  113.7 9.5 0
1583044038000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.577368333333332 37.95281666666666  103.6 10.8 0
1583044059000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.578663333333335 37.95256  105.1 10.8 0
1583044179000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.586015 37.951123333333335  103.2 10.9 0
1583044188000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.58658 37.951033333333335  102.2 10.9 0
1583044209000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.58789833333333 37.95085166666667  99 10.9 0
1583044219000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.588531666666665 37.950786666666666  96.9 10.9 0
1583044260000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.59114333333333 37.95061833333333  94.2 10.9 0
1583044289000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.592988333333334 37.950493333333334  96.2 10.9 0
1583044298000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.593551666666666 37.95044  96.7 10.7 0
1583044308000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.594168333333336 37.95038  95.2 10.6 0
1583044320000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.594908333333333 37.95037  90.4 10.5 0
1583044428000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.599533333333333 37.95388166666667  35.9 11 0
1583044548000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.605006666666668 37.95748833333334  79.4 8.9 0
1583044569000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.606096666666666 37.957526666666666  88.3 8.3 0
1583044579000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.606571666666664 37.95753166666667  88.6 8.2 0
1583044590000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.606963333333333 37.957523333333334  90.7 7.5 0
1583044598000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60732833333333 37.957514999999994  91.6 6.9 0
1583044618000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.608045 37.957505  88.4 5.8 0
1583044638000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.608571666666666 37.95758333333333  79 3.9 0
1583044679000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.608971666666665 37.95771833333333  66.9 1 0
1583044698000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609038333333334 37.95771166666667  87.2 0.4 0
1583044718000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609058333333333 37.95771  88.1 0.1 0
1583044738000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609076666666667 37.9577  98.5 0.2 0
1583044799000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609105 37.957679999999996  135 0.1 0
1583044839000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609131666666666 37.957675  115.5 0.1 0
1583044898000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60912 37.957660000000004  115.5 0.1 0
1583044998000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609143333333336 37.95769166666666  115.5 0 0
1583045019000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609143333333336 37.95769166666666  115.5 0 0
1583045049000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60914 37.957679999999996  115.5 0.1 0
1583045089000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609146666666668 37.95768833333333  115.5 0.1 0
1583045109000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609146666666668 37.95769166666666  115.5 0 0
1583045129000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609145 37.957694999999994  115.5 0 0
1583045139000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609145 37.957694999999994  115.5 0 0
1583045149000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609148333333334 37.957694999999994  115.5 0 0
1583045180000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60915 37.95769  115.5 0.1 0
1583045424000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60915 37.957679999999996  115.5 0.1 0
1583045445000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609173333333334 37.95769  115.5 0.1 0
1583045475000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609173333333334 37.95769333333333  115.5 0 0
1583045535000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60916 37.95767333333333  115.5 0.1 0
1583045565000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609143333333336 37.957665  115.5 0.1 0
1583045574000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60914 37.95767333333333  115.5 0.1 0
1583045685000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609131666666666 37.95766666666667  115.5 0.1 0
1583045694000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609131666666666 37.95766833333333  115.5 0 0
1583045745000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609136666666664 37.95765666666667  115.5 0 0
1583045764000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609143333333336 37.95765666666667  115.5 0.1 0
1583045785000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609146666666668 37.95767  115.5 0.1 0
1583045814000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609154999999998 37.95768666666667  115.5 0.1 0
1583045865000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60916166666667 37.95769833333333  115.5 0 0
1583045884000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60915333333333 37.957694999999994  115.5 0.1 0
1583045915000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60913833333333 37.95769833333333  115.5 0.1 0
1583045925000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609136666666664 37.95769166666666  115.5 0.1 0
1583045955000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609131666666666 37.957676666666664  115.5 0.1 0
1583045985000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60913 37.95767333333333  115.5 0.1 0
1583045995000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60914 37.95766166666667  115.5 0.1 0
1583046064000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609143333333336 37.957660000000004  115.5 0 0
1583046124000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60915333333333 37.95767333333333  115.5 0 0
1583046184000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609148333333334 37.95767  115.5 0 0
1583046194000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60915333333333 37.95767  115.5 0 0
1583046215000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609158333333333 37.957675  115.5 0 0
1583046226000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609154999999998 37.957675  115.5 0 0
1583046254000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609154999999998 37.957675  115.5 0.1 0
1583046265000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60915333333333 37.95767333333333  115.5 0 0
1583046325000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609145 37.957679999999996  115.5 0 0
1583046335000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60914 37.957675  115.5 0 0
1583046385000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609143333333336 37.957676666666664  115.5 0 0
1583046455000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60915 37.95767166666667  115.5 0 0
1583046474000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60915 37.95766833333333  115.5 0 0
1583046505000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609151666666666 37.95766833333333  115.5 0 0
1583046695000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.609154999999998 37.957679999999996  115.5 0 0
1583046905000 769f7ede-9f79-423f-bb3f-b15babcabed8 23.60915333333333 37.957678333333334  115.5 0 0
