1583006404000 a295a927-6562-4188-885b-31f86cda126d 23.68387166666667 37.92864  219.7 0 0
1583006407000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.55047666666667 37.955106666666666 9 61.5 0 0
1583006412000 ada3303a-8831-40cd-90de-7aa0bba18146 23.573593333333335 37.95318333333333  95.5 9.2 0
1583006414000 a295a927-6562-4188-885b-31f86cda126d 23.68386333333333 37.92863  219.7 0 0
1583006420000 ada3303a-8831-40cd-90de-7aa0bba18146 23.574073333333335 37.953136666666666  96.6 9.2 0
1583006423000 a295a927-6562-4188-885b-31f86cda126d 23.68386333333333 37.928628333333336  219.7 0 0
1583006431000 ada3303a-8831-40cd-90de-7aa0bba18146 23.574661666666668 37.953071666666666  97.9 9.2 0
1583006435000 1ba36007-2caa-46fc-a6ba-f87b5a20c903 23.649 37.93375  0 0 0
1583006442000 ada3303a-8831-40cd-90de-7aa0bba18146 23.575196666666667 37.952999999999996  99.4 9.3 0
1583006443000 a295a927-6562-4188-885b-31f86cda126d 23.683868333333333 37.92861833333333  219.7 0 0
1583006450000 ada3303a-8831-40cd-90de-7aa0bba18146 23.575675 37.95292333333334  101.1 9.3 0
1583006453000 a295a927-6562-4188-885b-31f86cda126d 23.683873333333334 37.928621666666665  219.7 0 0
1583006460000 ada3303a-8831-40cd-90de-7aa0bba18146 23.576203333333336 37.95283  102.9 9.3 0
1583006472000 ada3303a-8831-40cd-90de-7aa0bba18146 23.576775 37.95270333333334  105.2 9.3 0
1583006474000 a295a927-6562-4188-885b-31f86cda126d 23.683878333333332 37.928623333333334  219.7 0 0
1583006481000 ada3303a-8831-40cd-90de-7aa0bba18146 23.57729 37.95257333333333  107.2 9.3 0
1583006484000 a295a927-6562-4188-885b-31f86cda126d 23.683876666666666 37.928621666666665  219.7 0 0
1583006498000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550455 37.95509166666667 8 61.5 0 0
1583006502000 a295a927-6562-4188-885b-31f86cda126d 23.683891666666668 37.928628333333336  219.7 0 0
1583006509000 073583bb-80ca-4982-bc5c-c41830ed5bb2 23.555763333333335 38.038509999999995 158 225.8 0 0
1583006513000 a295a927-6562-4188-885b-31f86cda126d 23.683891666666668 37.928628333333336  219.7 0 0
1583006524000 a295a927-6562-4188-885b-31f86cda126d 23.683891666666668 37.928626666666666  219.7 0 0
1583006526000 135a3776-a1d0-49b0-aa5c-a8453c2c08cf 23.684163333333334 37.93029333333333  220.1 0 0
1583006532000 ada3303a-8831-40cd-90de-7aa0bba18146 23.57982333333333 37.95177  112.8 9.3 0
1583006544000 a295a927-6562-4188-885b-31f86cda126d 23.683873333333334 37.92861833333333  219.7 0 0
1583006558000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550498333333334 37.955081666666665 9 61.5 0 0
1583006562000 a295a927-6562-4188-885b-31f86cda126d 23.683866666666667 37.92861333333334  219.7 0 0
1583006567000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.55048833333333 37.95507333333333 9 61.5 0 0
1583006571000 ada3303a-8831-40cd-90de-7aa0bba18146 23.5819 37.951193333333336  107.1 9.3 0
1583006573000 a295a927-6562-4188-885b-31f86cda126d 23.68387166666667 37.92861833333333  219.7 0 0
1583006576000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550481666666666 37.95507 9 61.5 0 0
1583006586000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.55048833333333 37.95507666666666 9 61.5 0 0
1583006591000 ada3303a-8831-40cd-90de-7aa0bba18146 23.582965 37.95098333333333  103.6 9.3 0
1583006594000 a295a927-6562-4188-885b-31f86cda126d 23.683885 37.928628333333336  219.7 0 0
1583006601000 ada3303a-8831-40cd-90de-7aa0bba18146 23.583501666666667 37.950894999999996  102.1 9.4 0
1583006604000 a295a927-6562-4188-885b-31f86cda126d 23.683888333333336 37.92863  219.7 0 0
1583006613000 a295a927-6562-4188-885b-31f86cda126d 23.68389 37.92863333333333  219.7 0 0
1583006615000 1ba36007-2caa-46fc-a6ba-f87b5a20c903 23.649 37.93375  0 0 0
1583006622000 a295a927-6562-4188-885b-31f86cda126d 23.68388666666667 37.92863333333333  219.7 0 0
1583006622000 ada3303a-8831-40cd-90de-7aa0bba18146 23.58458166666667 37.950743333333335  99.9 9.4 0
1583006627000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550486666666664 37.95507333333333 9 61.5 0 0
1583006631000 ada3303a-8831-40cd-90de-7aa0bba18146 23.585123333333335 37.950676666666666  99.1 9.4 0
1583006644000 a295a927-6562-4188-885b-31f86cda126d 23.683881666666665 37.92863666666666  219.7 0 0
1583006661000 ada3303a-8831-40cd-90de-7aa0bba18146 23.58674166666667 37.95049166666667  97.6 9.3 0
1583006666000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550506666666667 37.955115 9 61.5 0 0
1583006670000 ada3303a-8831-40cd-90de-7aa0bba18146 23.587226666666666 37.95044166666666  97.5 9.3 0
1583006673000 a295a927-6562-4188-885b-31f86cda126d 23.683878333333332 37.92864  219.7 0 0
1583006678000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550455 37.955088333333336 9 61.5 0 0
1583006681000 ada3303a-8831-40cd-90de-7aa0bba18146 23.58782 37.95037666666666  97.8 9.3 0
1583006682000 a295a927-6562-4188-885b-31f86cda126d 23.683878333333332 37.92864  219.7 0 0
1583006687000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550455 37.95509333333334 9 61.5 0 0
1583006693000 a295a927-6562-4188-885b-31f86cda126d 23.683885 37.928641666666664  219.7 0 0
1583006696000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550473333333333 37.9551 9 61.5 0 0
1583006700000 ada3303a-8831-40cd-90de-7aa0bba18146 23.588853333333336 37.95027833333334  96.6 9.3 0
1583006704000 a295a927-6562-4188-885b-31f86cda126d 23.683885 37.92863666666666  219.7 0 0
1583006706000 135a3776-a1d0-49b0-aa5c-a8453c2c08cf 23.684154999999997 37.93029  231.6 0 0
1583006707000 41dc89c8-4d7e-4d18-8e98-9cb5b6a3efd8 23.564166666666665 37.960323333333335 183 91.9 0 0
1583006711000 ada3303a-8831-40cd-90de-7aa0bba18146 23.589454999999997 37.95023666666667  95.4 9.3 0
1583006713000 a295a927-6562-4188-885b-31f86cda126d 23.68389 37.92863666666666  219.7 0 0
1583006717000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.55050333333333 37.95511166666667 9 61.5 0 0
1583006721000 ada3303a-8831-40cd-90de-7aa0bba18146 23.58999833333333 37.950201666666665  94.7 9.3 0
1583006724000 a295a927-6562-4188-885b-31f86cda126d 23.68389 37.92863666666666  219.7 0 0
1583006726000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.55049 37.955106666666666 9 61.5 0 0
1583006733000 a295a927-6562-4188-885b-31f86cda126d 23.683893333333334 37.92863333333333  219.7 0 0
1583006736000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550513333333335 37.95513666666667 9 61.5 0 0
1583006741000 ada3303a-8831-40cd-90de-7aa0bba18146 23.591091666666667 37.950140000000005  93.9 9.3 0
1583006747000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550515 37.955130000000004 9 61.5 0 0
1583006761000 ada3303a-8831-40cd-90de-7aa0bba18146 23.592136666666665 37.95008833333333  92 9.3 0
1583006766000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550496666666668 37.955115 9 61.5 0 0
1583006773000 a295a927-6562-4188-885b-31f86cda126d 23.683903333333333 37.928646666666666  219.7 0 0
1583006777000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550471666666667 37.95508333333333 9 61.5 0 0
1583006784000 a295a927-6562-4188-885b-31f86cda126d 23.68390833333333 37.928655000000006  219.7 0 0
1583006787000 8a28060e-8c2b-4cc8-92db-8df4e244685e 23.550465 37.955088333333336 9 61.5 0 0
